序号,协议名,协议号,模块,功能组,组顺序,组权重,单百分比,描述
7,ActivityListRequest_11000001,0x11000001,活动,1000,1,1,,查看有哪些显示的活动
9,ActivityRedPointRequest_11000003,0x11000003,活动,1000,2,,,查看某个活动，是否有红点
12,ActivitySevenDaysSigninRequest_11000026,0x11000026,活动,1000,3,,,"七日签到,签到领奖 请求"
311,ActivityServerOpenRankListRequest_11000203,0x11000203,活动,1000,4,,,查看开服7天排行榜数据
312,ActivityServerOpenRankRequest_11000200,0x11000200,活动,1000,5,,,查看开服7天排行榜活动数据
313,ActivityServerOpenRankRewardRequest_11000205,0x11000205,活动,1000,6,,,领取开服7天排行每日奖励
314,ActivityWestLuckyCountRewardRequest_11000097,0x11000097,活动,1000,7,,,领取次数进度奖励
169,ActivityWestLuckyDrawRequest_11000093,0x11000093,活动,1000,,,,抽取转盘
170,ActivityWestLuckyInfoRequest_11000091,0x11000091,活动,1000,,,,转盘信息
"",,,,,,,,
14,BattlePatrolRewardRequest_13000044,0x13000044,活动,2100,,1,,领取巡逻奖励
"",,,,,,,,
26,BattleFieldStartRequest_13000001,0x13000001,PVE,2300,1,1,,开始关卡战斗请求
27,BattleFieldEndRequest_13000003,0x13000003,PVE,2300,2,,,结束关卡战斗请求
28,BattleFieldQuickEndRequest_13000005,0x13000005,PVE,2350,,1,,"关卡快速战斗请求,也可以当扫荡来使用"
29,BattleLineupRequest_13000048,0x13000048,PVE,2400,,1,,保存阵容
36,BattleRewardRequest_13000022,0x13000022,PVE,2560,,1,,"领取战役  首次胜利奖励	首次半血胜利奖励	首次无损胜利奖励,可以一次领多个战役的。"
37,BattleRougeRefreshRequest_13000052,0x13000052,PVE,2570,,1,,"肉鸽刷新,每天前3次免费，第四次看广告。"
38,BattleShareRequest_13000007,0x13000007,PVE,2580,,1,,看广告并分享之后额外获得xx倍奖励
44,BattleStaminaRequest_13000050,0x13000050,PVE,2650,,1,,领取体力
45,BattleSweepRequest_13000024,0x13000024,PVE,2660,,1,,关卡扫荡
"",,,,,,,,
49,ChatRequest_31000001,0x31000001,聊天,2999,,1,,请求聊天
50,DevelopHeavenlyDaoLvUpRequest_25000010,0x25000010,修炼,3000,,1,,天道修为晋升，提升等级。
"",,,,,,,,
60,FriendApplicationRequest_30000007,0x30000007,好友,3300,5,1,,"处理好友申请,包含批量处理"
61,FriendApplyListRequest_30000053,0x30000053,好友,3300,4,,,请求好友申请列表
